"CNTF1_10.5"	"CNTM1_10.5"	"CNTM2_10.5"	"CNTF2_10.5"	"CNTM3_10.5"	"CNTF3_10.5"	"CNTM4_10.5"	"DHTF1_10.5"	"DHTF2_10.5"	"DHTM1_10.5"	"DHTF3_10.5"	"DHTM2_10.5"	"DHTF4_10.5"	"DHTM3_10.5"	"DHTF5_10.5"	"DHTF6_10.5"	"DHTF7_10.5"	"DHTF8_10.5"	"FLUF1_10.5"	"FLUM1_10.5"	"FLUF2_10.5"	"FLUF3_10.5"	"genes"	"gene_group"
"Slco3a1"	4.11430595791661	4.15961474592384	4.28757330428908	4.85829637277121	3.89523938372219	3.5815724230088	4.41919583302092	1.80076097969351	2.95502332071322	1.18012922443844	2.49178053692726	3.83389180857565	2.30477352489903	3.75977089947926	3.54159648132414	1.77536149038931	2.24551098364953	3.31856157991009	3.76432408318053	4.2691091980046	3.68772024460466	4.48401380780945	"Slco3a1"	"DEGs of placenta with female fetus"
"Scnn1b"	5.5063967346801	5.71311989792673	6.13924696936443	6.3206102891757	5.41406932918844	5.7817580738775	5.73995768200574	3.45103408543405	3.35199648798538	3.47609205972265	2.98860755657655	4.63620798045753	3.27351253247507	5.32305642248287	5.33575614066342	3.95786135110974	2.24551098364953	4.24438359567004	5.64019742662417	5.93071920243249	5.42820148072702	6.40205402805146	"Scnn1b"	"DEGs of placenta with female fetus"
"Lsp1"	7.97070185153183	7.70406547682887	7.82298906621625	8.13475179778855	7.60449319634569	7.86478362166492	8.05205426734692	6.8173901745816	3.73127091514836	4.32117487787646	5.66436077615461	5.79091754782909	6.15275129241856	7.23031168582612	6.33690714949696	5.22298095188284	5.96277169985567	5.99631747111169	8.88252520152238	8.20179924190283	8.83101172504069	6.97018076391565	"Lsp1"	"DEGs of placenta with female fetus"
"Cd24a"	3.54744162081371	3.67922951715367	3.12442238728103	2.60693058931128	3.67778396998614	3.93995851104676	3.74228923180234	6.61290594316462	5.53726456975251	6.24207412507479	4.00273227213682	3.53703742822585	4.57635363643508	4.14793333203117	5.9214860826308	6.46330462103585	4.12639651996859	6.18613481425393	4.04881281507679	3.43877511548116	4.12576562383547	4.44163294371435	"Cd24a"	"DEGs of placenta with female fetus"
"Chst11"	5.35593482993464	5.28398092755873	5.19040233663186	5.54931666728846	5.23956116871109	4.89217577452544	5.38507977056046	1.80076097969351	4.03130774472009	2.60024189668681	3.35747236605419	4.07996498719697	3.58910631374774	5.04707686424502	3.99118372543303	2.21252470756492	3.31917292768361	4.24438359567004	4.75048268226011	4.90987525969111	4.46132435702253	5.34045692057286	"Chst11"	"DEGs of placenta with female fetus"
"Ppm1h"	3.15027805922228	3.2381617438329	4.84769886548886	3.77927596808462	4.02390136445642	4.29040384554218	3.89136129341249	4.82397524663972	6.04632248740716	4.57213012018848	5.56215604356634	5.4406756956528	5.52124699015206	5.55462477825294	5.17502050935527	4.34949988269875	5.08449135981483	5.34886703739466	3.98277535057399	3.77147238223006	3.68772024460466	5.19495848936712	"Ppm1h"	"DEGs of placenta with female fetus"
"Ndufa4l2"	5.78194718336405	5.46019027204268	5.12806679438841	5.76730121627926	5.41406932918844	6.02553906938336	4.26376629519792	4.54574326909034	3.51584942938471	3.30185027749791	3.89473544774117	4.5571544105701	4.71269221658898	2.99455697166917	2.66045622030928	3.57344358616819	4.35463988092623	3.12007115268144	5.19157291749849	4.79277252207997	4.82929024012022	3.50654171977345	"Ndufa4l2"	"DEGs of placenta with female fetus"
"Lpl"	4.16043621604684	4.01655328208935	3.56179016639718	3.11071281187816	4.40088314327132	3.5815724230088	3.28402197657116	1.80076097969351	1.15580149117805	2.26240675230338	2.15980283673961	1.21784480176333	0.838491783415756	2.71718823846573	1.04576858541415	1.14510278702269	0	0	3.68348162692345	4.23360221944144	4.04815652460252	2.4685161823893	"Lpl"	"DEGs of placenta with female fetus"
"Adgrg1"	4.6226258726034	5.56673930647691	4.99468284558903	5.46866560621497	4.77456363044041	4.40977758157945	4.68735469499363	3.07931299327145	3.06496633438475	1.18012922443844	1.72785884775726	3.83389180857565	2.70426519853919	3.90108396752697	3.25031390670732	2.81927871689669	3.31917292768361	3.49301664663924	5.10109298342169	5.30147822510992	4.82929024012022	3.8683141248192	"Adgrg1"	"DEGs of placenta with female fetus"
"Cdh1"	4.89236189907664	5.28398092755873	4.16874257669407	4.02469072777513	5.23956116871109	3.5815724230088	4.36922372387069	1.80076097969351	2.83600560839785	0	2.15980283673961	3.83389180857565	2.51830313974079	0	3.54159648132414	1.14510278702269	2.64128486417046	2.61577844589409	4.44189188236461	4.46554880193679	4.33630362442697	3.33191797664982	"Cdh1"	"DEGs of placenta with female fetus"
"Tubb3"	5.335973884614	5.40381175799869	4.99468284558903	5.29243074471126	5.36632601110124	4.52002430280248	4.31745837963692	3.07931299327145	1.50696800685052	2.60024189668681	0	1.86867874654342	0.838491783415756	4.54248080097277	3.78383281038875	2.81927871689669	1.32009190150253	2.61577844589409	5.68241509846024	5.97439644566159	5.8036907846343	3.13320908518031	"Tubb3"	"DEGs of placenta with female fetus"
"Tnnc1"	1.93117876484023	2.12907334897057	2.49373489240327	1.82620511837831	2.36843433529705	1.82046981156331	2.42501296276216	4.20071435875084	4.74360624166667	5.02897875051205	3.77799531400139	2.65625824399709	4.47773261626032	3.42731439039713	4.73048679288049	4.65720424002354	4.72497448356835	4.33883578569662	1.31092803629127	2.09801795213949	2.69728347822608	1.19889685574221	"Tnnc1"	"DEGs of placenta with female fetus"
"Sema3g"	5.57612504879327	5.0095652564764	5.36271402694238	5.09163222621887	5.41406932918844	4.57214132097349	4.55949677087699	3.99133925464476	3.43624789295415	4.91252181497894	2.49178053692726	3.83389180857565	3.76668805514391	2.71718823846573	4.25519253875929	4.65720424002354	3.08476174753715	4.03462206534051	4.1119593476393	4.12151613920124	4.5763697685472	4.7150693273274	"Sema3g"	"DEGs of placenta with female fetus"
"Ear1"	4.86476395133137	3.93932513210487	6.92411042730585	7.28824676074072	4.94675882150247	5.92891745088441	6.68614414438478	3.07931299327145	4.03130774472009	3.47609205972265	4.19713325566325	3.69308642168094	3.49138328377502	4.54248080097277	3.07916666513159	3.95786135110974	2.8047310726725	4.80374764085547	5.38293688525025	4.43461064285324	4.33630362442697	7.2596282378799	"Ear1"	"DEGs of placenta with female fetus"
"Ero1l"	7.52268616101201	6.91635637449841	6.50077988589936	6.3206102891757	6.73447989678478	7.18310765450331	6.65519997067001	6.03529458034026	5.90563668271565	6.67634722377496	5.52641290533376	6.12828251640562	5.05811604024248	4.78059999320746	5.94660351980492	6.22706236489547	5.23542430378689	6.39840167819279	6.96190578367547	6.63569986836454	6.26466467232831	6.03962173090581	"Ero1l"	"DEGs of placenta with female fetus"
"Gpc6"	2.60041250957572	2.12907334897057	3.12442238728103	2.60693058931128	2.71187791047313	3.23876748915659	3.05030963410355	4.82397524663972	5.0679887958339	4.12578494015594	4.19713325566325	3.16284471870032	4.47773261626032	3.90108396752697	4.94509474091808	4.72486831257509	3.42348820904769	4.5109959896032	2.2334362547114	2.50777944456921	1.50008736675351	3.02254959593717	"Gpc6"	"DEGs of placenta with female fetus"
"Pstpip1"	5.21003554401498	5.25240076455253	4.68402329983498	5.29243074471126	5.41406932918844	5.18774667595071	4.20799847801502	3.45103408543405	1.78917059674216	3.63153930195064	2.98860755657655	4.71115385973992	4.25762429459913	2.99455697166917	2.88494861254233	3.57344358616819	4.35463988092623	1.83380868448704	4.7102380148148	5.09932991084911	5.39723700753832	3.80285566721207	"Pstpip1"	"DEGs of placenta with female fetus"
"Gm6166"	4.77865367292409	4.01655328208935	4.49937363669124	5.09163222621887	3.89523938372219	4.01718896255787	3.81874983778277	3.99133925464476	1.78917059674216	3.77185466271214	1.10847713584268	2.31555740611604	2.30477352489903	3.22710169594158	3.25031390670732	2.54756716607827	2.24551098364953	2.27713787278049	3.19307144817358	4.19719926083606	4.12576562383547	3.42187029321182	"Gm6166"	"DEGs of placenta with female fetus"
"Col12a1"	5.11952220423697	5.0468603359176	4.99468284558903	4.72575801826069	4.57899447830352	4.67104605687685	4.55949677087699	1.80076097969351	3.85886502317781	3.77185466271214	3.77799531400139	3.83389180857565	3.27351253247507	1.92141718217169	3.07916666513159	3.84074596263878	3.92787667689621	3.31856157991009	4.34007375410968	3.95708479130019	3.58154292886254	4.15731290134326	"Col12a1"	"DEGs of placenta with female fetus"
"Prss35"	6.15667303417108	5.40381175799869	3.73908244225773	5.46866560621497	5.61128305246401	5.66662175037841	4.08954676254241	0	4.08449370692666	1.18012922443844	4.28531849615094	4.71115385973992	4.57635363643508	4.35865282252498	3.07916666513159	1.77536149038931	4.87968531767751	4.03462206534051	5.2205143619604	4.90987525969111	4.51999352313999	4.10395989207851	"Prss35"	"DEGs of placenta with female fetus"
"Hba-a1"	10.9985713635708	11.1254041228349	11.7441935044407	12.2621810919388	11.2695638846586	10.9427596660859	11.321012749382	10.1341514287479	9.05567534097877	9.73425630102067	9.1485473676384	10.2677752107126	8.98587441560395	12.2775618701747	10.5443667443982	10.3360442394537	10.15870279694	9.52318238338836	11.7946043079506	11.2968081790093	12.0790012092902	11.0769393038368	"Hba-a1"	"DEGs of placenta with female fetus"
"Hba-a2"	8.92837508035346	8.86884061992586	8.96951003869927	9.07203215569722	9.44655247009299	8.88762549506001	9.61876009195309	7.07829101753207	6.62398996960315	7.24460660264127	7.69209175463113	7.6431236746349	6.1366798864648	9.69768876741449	8.07277791638433	8.20071113729013	7.90083302070462	7.31046107555869	9.79100651942164	9.28205646081509	10.086385002564	9.22782289212664	"Hba-a2"	"DEGs of placenta with female fetus"
"Traf4"	3.91344796631536	3.85772794376763	3.35961725920564	4.41739667990817	2.98907975205622	3.36231005138474	3.48509908552839	3.07931299327145	1.15580149117805	1.18012922443844	1.72785884775726	0	0	2.71718823846573	2.06811965613919	1.77536149038931	1.99770439287717	2.27713787278049	3.76432408318053	4.08213169252999	4.04815652460252	2.28892610478908	"Traf4"	"DEGs of placenta with female fetus"
"Rab34"	3.32246661804262	2.78767012020991	4.49937363669124	4.41739667990817	4.02390136445642	4.29040384554218	4.41919583302092	5.86128318498206	5.33265719104454	6.19298970699584	4.95701663423951	5.03666844818348	5.30818642779326	5.10665806173339	5.37328989452001	5.94441206781631	5.44821954242953	5.15479318675504	3.76432408318053	3.72108214942645	3.05561105580417	4.88284331738502	"Rab34"	"DEGs of placenta with female fetus"
"Unc119"	5.04770416496637	4.89152106167076	4.76818098872766	4.72575801826069	4.57899447830352	4.22679625663467	4.84191320685218	3.45103408543405	2.02510031240372	2.60024189668681	2.15980283673961	1.86867874654342	3.15085171557933	4.78059999320746	3.25031390670732	4.16692943932242	3.52076682018801	3.12007115268144	5.03745835127752	5.23120323417525	5.54581273822531	4.25844126714324	"Unc119"	"DEGs of placenta with female fetus"
"Tmem98"	2.30425793073808	3.85772794376763	2.84327151574431	3.11071281187816	2.36843433529705	2.60025166081937	2.77127662114297	3.07931299327145	4.23321088933081	3.89972456319096	4.19713325566325	3.16284471870032	4.83725159326266	4.02978180359604	3.66779278421507	4.16692943932242	4.06321053440041	4.33883578569662	2.44441065240673	3.16489054503911	2.88754368420202	3.80285566721207	"Tmem98"	"DEGs of placenta with female fetus"
"B4galnt2"	2.45992119344775	1.81998413919349	2.84327151574431	2.60693058931128	3.10996915117113	3.67985417274167	2.214730533382	0	0	1.18012922443844	0	2.65625824399709	0.838491783415756	1.92141718217169	0	1.14510278702269	0	0	1.98623677165776	1.26677576562868	1.50008736675351	1.84449869942569	"B4galnt2"	"DEGs of placenta with female fetus"
"2410003L11Rik"	4.6226258726034	3.10304764073912	2.03147561543519	3.11071281187816	3.67778396998614	3.93995851104676	2.91752864393893	0	0.690676648191743	1.18012922443844	0	0	0	2.37348801925951	2.06811965613919	2.21252470756492	0	2.27713787278049	4.1119593476393	3.66886799651265	4.26948086158929	2.0837585928359	"2410003L11Rik"	"DEGs of placenta with female fetus"
"Wnk4"	2.12974462052701	2.78767012020991	2.84327151574431	0	1.62382106513146	2.12959602362445	2.214730533382	3.07931299327145	4.56800127138057	1.82046142968812	4.6599111347969	4.1888651884752	4.19691819353815	3.42731439039713	2.88494861254233	3.41858814830099	4.06321053440041	3.64863357852559	1.68773987378784	1.7414540630255	2.47806476599077	3.2359819640178	"Wnk4"	"DEGs of placenta with female fetus"
"Prl2b1"	9.69875966151226	10.1057596861338	9.14502957994305	8.92864245153758	8.63644099691079	6.69997428653293	7.97061021786184	1.80076097969351	0.690676648191743	0	0	0	0	3.6030979938865	1.04576858541415	0	0.806043593868859	1.83380868448704	8.42254209351154	8.95417791017476	9.45962852105437	4.15731290134326	"Prl2b1"	"DEGs of placenta with female fetus"
"Fgd3"	4.0173696780322	3.93932513210487	3.89695238688524	4.02469072777513	2.85712636826158	3.10364633767904	3.57601966602553	3.07931299327145	1.50696800685052	0	1.10847713584268	1.86867874654342	2.30477352489903	3.22710169594158	2.39447671048642	2.54756716607827	2.24551098364953	2.61577844589409	3.30539639438881	3.86726156570807	3.46692610425351	3.13320908518031	"Fgd3"	"DEGs of placenta with female fetus"
"4930486L24Rik"	5.21003554401498	4.71741495593427	5.25015568859959	5.89624063269912	4.6994864478972	5.04751737834733	3.66154843042766	0	2.83600560839785	1.82046142968812	2.98860755657655	3.53703742822585	3.27351253247507	3.90108396752697	3.66779278421507	1.77536149038931	3.61189839418707	3.91707182528396	4.28633674176835	4.9321969184733	4.82929024012022	3.13320908518031	"4930486L24Rik"	"DEGs of placenta with female fetus"
"Fam49a"	4.24849437435522	4.01655328208935	5.25015568859959	5.29243074471126	3.96100418562919	4.22679625663467	4.26376629519792	3.74633399718559	2.02510031240372	0	2.98860755657655	2.31555740611604	3.49138328377502	4.25713686349442	3.25031390670732	2.54756716607827	2.95153010172108	3.12007115268144	4.62621561117554	4.33760437650892	4.40016781940292	3.33191797664982	"Fam49a"	"DEGs of placenta with female fetus"
"Flvcr2"	4.33148549911698	3.2381617438329	4.49937363669124	3.48338031787441	2.98907975205622	2.60025166081937	3.81874983778277	0	0	1.82046142968812	0	0	0	1.92141718217169	1.04576858541415	0	0.806043593868859	0	4.04881281507679	3.72108214942645	4.40016781940292	2.4685161823893	"Flvcr2"	"DEGs of placenta with female fetus"
"Tgfb3"	4.2905866131947	4.71741495593427	3.35961725920564	4.72575801826069	4.40088314327132	3.93995851104676	4.31745837963692	0	3.26251809034688	3.10363600559062	3.77799531400139	3.16284471870032	3.15085171557933	3.42731439039713	2.06811965613919	2.21252470756492	2.64128486417046	2.61577844589409	3.4096041586714	4.37066986066123	4.26948086158929	3.8683141248192	"Tgfb3"	"DEGs of placenta with female fetus"
"Rian"	6.110420338861	5.15328787084297	5.74146358799575	5.29243074471126	5.63161993996213	4.8077461697972	6.07218007055463	3.45103408543405	1.50696800685052	2.87378439143116	2.98860755657655	1.21784480176333	3.15085171557933	5.37243922969891	2.66045622030928	2.54756716607827	3.08476174753715	4.24438359567004	5.64019742662417	6.05797356211015	6.28171926698586	3.33191797664982	"Rian"	"DEGs of placenta with female fetus"
"Tdrd9"	4.20513704456804	3.10304764073912	3.73908244225773	4.02469072777513	3.82633293287387	4.8077461697972	3.96049263961243	1.80076097969351	0	0	2.49178053692726	3.96216848236739	2.51830313974079	3.42731439039713	0	1.14510278702269	2.95153010172108	0	3.50678926759329	3.49982907953225	3.46692610425351	2.77196650580094	"Tdrd9"	"DEGs of placenta with female fetus"
"Kif26a"	4.94602276797007	4.89152106167076	4.03923837909411	4.57980035024969	4.77456363044041	3.5815724230088	4.41919583302092	3.07931299327145	2.22781564738343	1.82046142968812	3.18479679906236	3.69308642168094	3.15085171557933	3.22710169594158	2.06811965613919	2.81927871689669	2.8047310726725	3.12007115268144	4.62621561117554	5.07946689172879	4.91922444394135	3.2359819640178	"Kif26a"	"DEGs of placenta with female fetus"
"Gm6768"	3.54744162081371	3.58095149515833	2.03147561543519	3.48338031787441	3.51216503450685	3.67985417274167	2.214730533382	0	1.50696800685052	1.82046142968812	2.15980283673961	2.93167346184491	1.75040898035261	1.92141718217169	1.64567020855345	1.77536149038931	2.24551098364953	1.19054192685384	2.93820085798517	2.09801795213949	2.47806476599077	3.02254959593717	"Gm6768"	"DEGs of placenta with female fetus"
